time_s,temp_c,temp_ema,vnode,fan_duty,heater_duty,setpoint,state
971.9650,33.8928,33.3875,0.1056,0.3208,0.4500,34.0000,PID
972.9650,35.4104,33.4280,0.0999,0.3447,0.4500,34.0000,PID
975.9650,35.1876,33.5104,0.1007,0.3909,0.4500,34.0000,PID
977.9650,33.8928,33.5297,0.1056,0.3982,0.4500,34.0000,PID
982.9650,34.5314,33.6676,0.1032,0.4799,0.4500,34.0000,PID
993.9650,35.4104,33.9292,0.0999,0.6452,0.4500,34.0000,PID
1006.9650,34.1037,33.9658,0.1048,0.6660,0.4500,34.0000,PID
1033.9651,34.1037,33.9094,0.1048,0.6173,0.4500,34.0000,PID
1035.9651,33.8928,33.8886,0.1056,0.6019,0.4500,34.0000,PID
1036.9651,32.2692,33.8562,0.1120,0.5791,0.4500,34.0000,PID
1040.9651,34.1037,33.8677,0.1048,0.5834,0.4500,34.0000,PID
1050.9651,33.8928,33.7953,0.1056,0.5231,0.4500,34.0000,PID
1051.9651,32.6648,33.7727,0.1104,0.5064,0.4500,34.0000,PID
1052.9651,34.7481,33.7922,0.1023,0.5183,0.4500,34.0000,PID
1075.9651,33.2708,33.8041,0.1080,0.4954,0.4500,34.0000,PID
1092.9651,34.9669,33.8796,0.1015,0.5300,0.4500,34.0000,PID
1107.9651,34.3166,33.9381,0.1040,0.5605,0.4500,34.0000,PID
1110.9651,33.8928,33.9477,0.1056,0.5661,0.4500,34.0000,PID
1140.9651,34.1037,33.9370,0.1048,0.5508,0.4500,34.0000,PID
1155.9651,33.4763,33.9350,0.1072,0.5430,0.4500,34.0000,PID
1156.9651,34.7481,33.9512,0.1023,0.5537,0.4500,34.0000,PID
1163.9651,33.0670,33.9237,0.1088,0.5325,0.4500,34.0000,PID
1172.9651,33.4763,33.9477,0.1072,0.5461,0.4500,34.0000,PID
1173.9651,34.3166,33.9551,0.1040,0.5508,0.6000,34.0000,PID
1176.9651,34.1037,33.9763,0.1048,0.5646,0.6000,34.0000,PID
1184.9651,34.3166,34.0266,0.1040,0.5992,0.6000,34.0000,PID
1185.9651,32.8651,34.0034,0.1096,0.5835,0.6000,34.0000,PID
1199.9651,33.4763,34.0463,0.1072,0.6167,0.6000,34.0000,PID
1207.9651,33.4763,34.0375,0.1072,0.6134,0.6000,34.0000,PID
1211.9651,34.3166,34.0591,0.1040,0.6293,0.6000,34.0000,PID
1243.9651,34.1037,34.0967,0.1048,0.6708,0.6000,34.0000,PID
1274.9651,33.6836,34.1292,0.1064,0.7162,0.6000,34.0000,PID
1276.9651,33.0670,34.1074,0.1088,0.7029,0.6000,34.0000,PID
1306.9651,34.1037,34.1718,0.1048,0.7751,0.6000,34.0000,PID
1312.9651,34.3166,34.1802,0.1040,0.7873,0.6000,34.0000,PID
1313.9651,32.8651,34.1539,0.1096,0.7705,0.6000,34.0000,PID
1340.9651,33.8928,34.1651,0.1056,0.8064,0.6000,34.0000,PID
1341.9651,34.7481,34.1767,0.1023,0.8153,1.0000,34.0000,PID
1342.9651,34.7481,34.1881,0.1023,0.8242,1.0000,34.0000,PID
1355.9651,34.7481,34.2923,0.1023,0.9138,1.0000,34.0000,PID
1359.9651,34.5314,34.2993,0.1032,0.9256,1.0000,34.0000,PID
1360.9651,33.0670,34.2747,0.1088,0.9106,1.0000,34.0000,PID
1371.9651,34.5314,34.3469,0.1032,0.9803,1.0000,34.0000,PID
1372.9651,33.8928,34.3378,0.1056,0.9762,1.0000,34.0000,PID
1373.9651,34.7481,34.3460,0.1023,0.9839,1.0000,34.0000,PID
1374.9651,34.3166,34.3454,0.1040,0.9856,1.0000,34.0000,PID
1375.9651,34.5314,34.3492,0.1032,0.9902,1.0000,34.0000,PID
1376.9651,34.7481,34.3571,0.1023,0.9978,1.0000,34.0000,PID
1377.9651,34.7481,34.3650,0.1023,1.0000,1.0000,34.0000,THROTTLE
1378.9651,34.7481,34.3726,0.1023,1.0000,0.9626,34.0000,THROTTLE
1379.9651,34.3166,34.3715,0.1040,1.0000,0.9624,34.0000,THROTTLE
1380.9651,34.5314,34.3747,0.1032,1.0000,0.9618,34.0000,THROTTLE
1381.9651,34.5314,34.3778,0.1032,1.0000,0.9612,34.0000,THROTTLE
1382.9651,34.9669,34.3896,0.1015,1.0000,0.9597,34.0000,THROTTLE
1388.9651,34.7481,34.4103,0.1023,1.0000,0.9557,34.0000,THROTTLE
1420.9651,34.7481,34.5528,0.1023,1.0000,0.9297,34.0000,THROTTLE
1451.9651,35.1876,34.7040,0.1007,1.0000,0.8995,34.0000,THROTTLE
1482.9651,36.0916,34.9012,0.0975,1.0000,0.8593,34.0000,THROTTLE
1514.9651,34.5314,34.9876,0.1032,1.0000,0.8257,34.0000,THROTTLE
1545.9651,34.5314,34.9709,0.1032,1.0000,0.8028,34.0000,THROTTLE
1576.9651,34.5314,34.9412,0.1032,1.0000,0.7816,34.0000,THROTTLE
1608.9651,33.6836,34.8109,0.1064,1.0000,0.7720,34.0000,THROTTLE
1639.9651,34.5314,34.8137,0.1032,1.0000,0.7517,34.0000,THROTTLE
1671.9651,34.5314,34.7040,0.1032,1.0000,0.7434,34.0000,THROTTLE
1683.9651,34.7481,34.6679,0.1023,1.0000,0.7405,34.0000,THROTTLE
1684.9651,35.4104,34.6828,0.0999,1.0000,0.7385,34.0000,THROTTLE
1685.9651,34.7481,34.6841,0.1023,1.0000,0.7378,34.0000,THROTTLE
1686.9651,34.7481,34.6853,0.1023,1.0000,0.7371,34.0000,THROTTLE
1687.9651,34.5314,34.6823,0.1032,1.0000,0.7369,34.0000,THROTTLE
1688.9651,34.1037,34.6707,0.1048,1.0000,0.7375,34.0000,THROTTLE
1689.9651,34.5314,34.6679,0.1032,1.0000,0.0000,34.0000,COOLING
1690.9651,34.7481,34.6679,0.1023,0.0000,0.0000,34.0000,IDLE
1691.9651,34.1037,34.6679,0.1048,0.0000,0.0000,34.0000,IDLE
1692.9651,33.4763,34.6679,0.1072,0.0000,0.0000,34.0000,IDLE
1693.9651,34.1037,34.6679,0.1048,0.0000,0.0000,34.0000,IDLE
1694.9651,34.1037,34.6679,0.1048,0.0000,0.0000,34.0000,IDLE
1695.9651,34.9669,34.6679,0.1015,0.0000,0.0000,34.0000,IDLE
1715.9651,36.0916,34.6679,0.0975,0.0000,0.0000,34.0000,IDLE
1741.9651,36.5566,34.6679,0.0959,0.0000,0.0000,34.0000,IDLE
1742.9651,37.2715,34.6679,0.0935,0.0000,0.0000,34.0000,IDLE
1743.9651,37.2715,34.6679,0.0935,0.0000,0.0000,34.0000,IDLE
1744.9651,37.2715,34.6679,0.0935,0.0000,0.0000,34.0000,IDLE
1745.9651,36.0916,34.6679,0.0975,0.0000,0.0000,34.0000,IDLE
1746.9651,37.5146,34.6679,0.0927,0.0000,0.0000,34.0000,IDLE
