time_s,temp_c,temp_ema,vnode,fan_duty,heater_duty,setpoint,state
917.3450,35.4104,35.3135,0.0999,1.0000,1.0000,35.0000,?
918.3450,35.4104,35.3155,0.0999,1.0000,0.9683,35.0000,?
924.3450,36.3230,35.3285,0.0967,1.0000,0.9655,35.0000,?
932.3450,35.4104,35.3539,0.0999,1.0000,0.9608,35.0000,?
940.3450,36.0916,35.3401,0.0975,1.0000,0.9601,35.0000,?
948.3450,34.9669,35.3751,0.1015,1.0000,0.9543,35.0000,?
955.3450,35.4104,35.3800,0.0999,1.0000,0.9517,35.0000,?
963.3450,35.1876,35.4333,0.1007,1.0000,0.9436,35.0000,?
971.3450,34.3166,35.4079,0.1040,1.0000,0.9434,35.0000,?
978.3450,36.0916,35.4803,0.0975,1.0000,0.9336,35.0000,?
986.3450,35.8624,35.4863,0.0983,1.0000,0.9299,35.0000,?
994.3450,35.8624,35.5054,0.0983,1.0000,0.9249,35.0000,?
1001.3450,35.1876,35.4796,0.1007,1.0000,0.9246,35.0000,?
1009.3450,35.4104,35.4663,0.0999,1.0000,0.9230,35.0000,?
1017.3450,36.3230,35.5098,0.0967,1.0000,0.9155,35.0000,?
1024.3451,35.6353,35.5051,0.0991,1.0000,0.9131,35.0000,?
1032.3451,35.4104,35.4857,0.0999,1.0000,0.9119,35.0000,?
1040.3451,36.3230,35.5162,0.0967,1.0000,0.9057,35.0000,?
1048.3451,34.9669,35.4999,0.1015,1.0000,0.9041,35.0000,?
1055.3451,35.4104,35.5235,0.0999,1.0000,0.8989,35.0000,?
1063.3451,35.4104,35.5129,0.0999,1.0000,0.8967,35.0000,?
1071.3451,36.0916,35.4987,0.0975,1.0000,0.8951,35.0000,?
1078.3451,35.1876,35.4951,0.1007,1.0000,0.8926,35.0000,?
1086.3451,35.1876,35.4921,0.1007,1.0000,0.8898,35.0000,?
1094.3451,35.8624,35.4951,0.0983,1.0000,0.8864,35.0000,?
1101.3451,34.5314,35.4501,0.1032,1.0000,0.8882,35.0000,?
1102.3451,35.1876,35.4448,0.1007,1.0000,0.8884,35.0000,?
1103.3451,35.1876,35.4397,0.1007,1.0000,0.8000,35.0000,?
1108.3451,35.8624,35.4763,0.0983,1.0000,0.8000,35.0000,?
1109.3451,36.0916,35.4886,0.0975,1.0000,0.7509,35.0000,?
1113.3451,35.1876,35.5129,0.1007,1.0000,0.7469,35.0000,?
1121.3451,34.9669,35.4962,0.1015,1.0000,0.7452,35.0000,?
1128.3451,34.5314,35.4261,0.1032,1.0000,0.7496,35.0000,?
1136.3451,35.6353,35.3795,0.0991,1.0000,0.7518,35.0000,?
1144.3451,35.1876,35.3554,0.1007,1.0000,0.7518,35.0000,?
1151.3451,34.5314,35.2504,0.1032,1.0000,0.7606,35.0000,?
1159.3451,35.6353,35.2847,0.0991,1.0000,0.7556,35.0000,?
1167.3451,35.6353,35.2575,0.0991,1.0000,0.7565,35.0000,?
1175.3451,34.3166,35.2376,0.1040,1.0000,0.7568,35.0000,?
1181.3451,34.7481,35.1823,0.1023,1.0000,0.7614,35.0000,?
1182.3451,-26.1950,33.9547,1.2837,1.0000,0.8000,35.0000,?
1183.3451,-7.1671,33.1323,0.5568,0.0000,0.8000,35.0000,?
1185.3451,-23.6188,30.8449,1.1492,0.0000,0.8000,35.0000,?
